human_time,timestamp,x,y,vx,yaw
2026-02-18 21:21:09.712,1771417269.712709,-35.7700049909414,-8.836401123684444,2.674547813939096,-2.506292157810941
2026-02-18 21:21:09.722,1771417269.722444,-35.79093528684185,-8.851821611101885,2.674547813939096,-2.5066227692585556
2026-02-18 21:21:09.732,1771417269.732466,-35.812559782405714,-8.867735026052511,2.674547813939096,-2.5071783253779296
2026-02-18 21:21:09.742,1771417269.742603,-35.83436342171003,-8.883768639452505,2.674547813939096,-2.50752451751636
2026-02-18 21:21:09.752,1771417269.752528,-35.85575892655735,-8.8994843323455,2.674547813939096,-2.508064482929071
2026-02-18 21:21:09.762,1771417269.762443,-35.87725303313666,-8.915261826123853,2.674547813939096,-2.508385651718379
2026-02-18 21:21:09.772,1771417269.772882,-35.89925830333375,-8.931395773057066,2.674547813939096,-2.5089399035692432
2026-02-18 21:21:09.782,1771417269.782478,-35.92052597481262,-8.946978481138464,2.674547813939096,-2.509259305344087
2026-02-18 21:21:09.792,1771417269.792486,-35.9420816839988,-8.962748505786049,2.674547813939096,-2.5099759127994785
2026-02-18 21:21:09.802,1771417269.802505,-35.96368003173647,-8.97853908334692,2.674547813939096,-2.510296907807552
2026-02-18 21:21:09.812,1771417269.812621,-35.98536569717097,-8.994375527335672,2.674547813939096,-2.5108371855643776
2026-02-18 21:21:09.822,1771417269.822578,-36.006925366188945,-9.010103993855152,2.676694747337823,-2.511320326779875
2026-02-18 21:21:09.832,1771417269.832336,-36.02839008811159,-9.025744955343624,2.676694747337823,-2.5118750925760462
2026-02-18 21:21:09.842,1771417269.842475,-36.0501664017937,-9.04160090269045,2.676694747337823,-2.512237091543812
2026-02-18 21:21:09.852,1771417269.852354,-36.071699459277646,-9.057262933235151,2.676694747337823,-2.5127470074265785
2026-02-18 21:21:09.862,1771417269.862314,-36.09342710659874,-9.073049087242095,2.676694747337823,-2.513271285423114
2026-02-18 21:21:09.872,1771417269.872532,-36.11513961897393,-9.088807209086486,2.676694747337823,-2.5137850106779727
2026-02-18 21:21:09.882,1771417269.882455,-36.13660552946295,-9.104374904254989,2.676694747337823,-2.514134547093697
2026-02-18 21:21:09.892,1771417269.892442,-36.15835167049413,-9.120127959052256,2.676694747337823,-2.514673323995617
2026-02-18 21:21:09.902,1771417269.902542,-36.18017615348832,-9.135920805333765,2.676694747337823,-2.5151831694560887
2026-02-18 21:21:09.912,1771417269.912503,-36.2018062013983,-9.15155561280076,2.676694747337823,-2.5157095131020393
2026-02-18 21:21:09.922,1771417269.922633,-36.22356648388694,-9.167273874423788,2.676694747337823,-2.5160320509966407
2026-02-18 21:21:09.932,1771417269.932655,-36.24532802107158,-9.182975134204055,2.676694747337823,-2.5165730315174
2026-02-18 21:21:09.942,1771417269.942532,-36.267033913126724,-9.198619356526441,2.676694747337823,-2.5170849123732806
2026-02-18 21:21:09.952,1771417269.952267,-36.28863633011839,-9.214171385759606,2.676694747337823,-2.5176217654666484
2026-02-18 21:21:09.962,1771417269.962384,-36.310446314430884,-9.229862171497276,2.676694747337823,-2.5179442294107717
2026-02-18 21:21:09.972,1771417269.972233,-36.33224086438483,-9.245518668623795,2.676694747337823,-2.5186455549299573
2026-02-18 21:21:09.982,1771417269.982327,-36.354105839162706,-9.261216045473814,2.676694747337823,-2.518938577119973
2026-02-18 21:21:09.992,1771417269.992602,-36.37594570648752,-9.276871783661921,2.676694747337823,-2.5196524161629537
2026-02-18 21:21:10.002,1771417270.00227,-36.39761207618188,-9.292387264736252,2.676694747337823,-2.520136936102297
2026-02-18 21:21:10.012,1771417270.01226,-36.419221731261025,-9.307844924612002,2.676694747337823,-2.5206634926528313
2026-02-18 21:21:10.022,1771417270.022613,-36.440778412169415,-9.32324939502364,2.676694747337823,-2.521133056497586
2026-02-18 21:21:10.032,1771417270.032711,-36.46293703190509,-9.33906062001108,2.676694747337823,-2.521832237457808
2026-02-18 21:21:10.042,1771417270.042653,-36.48469611886052,-9.354570376818467,2.676694747337823,-2.5223313112037604
2026-02-18 21:21:10.052,1771417270.052389,-36.50622700903975,-9.369895607117886,2.676694747337823,-2.523005147426697
2026-02-18 21:21:10.062,1771417270.062611,-36.52858307622022,-9.385791528949714,2.676694747337823,-2.523499703634217
2026-02-18 21:21:10.072,1771417270.072648,-36.54999691973966,-9.400994339243042,2.658628877722158,-2.5242183878495243
2026-02-18 21:21:10.082,1771417270.082615,-36.57167271568919,-9.4163679867077,2.658628877722158,-2.524682837923322
2026-02-18 21:21:10.092,1771417270.092676,-36.59350200763406,-9.4318265132964,2.658628877722158,-2.525414344864972
2026-02-18 21:21:10.102,1771417270.102618,-36.615059078068214,-9.447077169242318,2.658628877722158,-2.5258808778979054
2026-02-18 21:21:10.112,1771417270.112874,-36.63676821520435,-9.46241249020618,2.658628877722158,-2.5265847045128926
2026-02-18 21:21:10.122,1771417270.122831,-36.658676147168855,-9.477866279336821,2.658628877722158,-2.5272537287799643
2026-02-18 21:21:10.132,1771417270.132529,-36.68017768912766,-9.49301644638539,2.658628877722158,-2.5277804956746146
2026-02-18 21:21:10.142,1771417270.142509,-36.70177049804504,-9.50820874979012,2.658628877722158,-2.5284669621672977
2026-02-18 21:21:10.152,1771417270.152578,-36.723677567679886,-9.52360541010826,2.658628877722158,-2.52897860577718
